'system name         ','optimization level         ','CCSD(T) /CBS CP              	                                    '
'37 HF ... methylamine 1.50','MP2/cc-pVTZ CP','-6.843'
'37 HF ... methylamine 2.00','MP2/cc-pVTZ CP','-2.805'
'38 HCl ... methylamine 0.80','MP2/cc-pVTZ CP','-6.674'
'38 HCl ... methylamine 0.85','MP2/cc-pVTZ CP','-9.078'
'38 HCl ... methylamine 0.90','MP2/cc-pVTZ CP','-10.458'
'38 HCl ... methylamine 0.95','MP2/cc-pVTZ CP','-11.13'
'38 HCl ... methylamine 1.00','MP2/cc-pVTZ CP','-11.313'
'38 HCl ... methylamine 1.05','MP2/cc-pVTZ CP','-11.162'
'38 HCl ... methylamine 1.10','MP2/cc-pVTZ CP','-10.789'
'38 HCl ... methylamine 1.25','MP2/cc-pVTZ CP','-9.043'
'38 HCl ... methylamine 1.50','MP2/cc-pVTZ CP','-6.001'
'38 HCl ... methylamine 2.00','MP2/cc-pVTZ CP','-2.47'
'39 methanol ... fluoromethane 0.80','MP2/cc-pVTZ CP','-1.617'
'39 methanol ... fluoromethane 0.85','MP2/cc-pVTZ CP','-2.95'
'39 methanol ... fluoromethane 0.90','MP2/cc-pVTZ CP','-3.608'
'39 methanol ... fluoromethane 0.95','MP2/cc-pVTZ CP','-3.846'
'39 methanol ... fluoromethane 1.00','MP2/cc-pVTZ CP','-3.828'
'39 methanol ... fluoromethane 1.05','MP2/cc-pVTZ CP','-3.663'
'39 methanol ... fluoromethane 1.10','MP2/cc-pVTZ CP','-3.421'
'39 methanol ... fluoromethane 1.25','MP2/cc-pVTZ CP','-2.592'
'39 methanol ... fluoromethane 1.50','MP2/cc-pVTZ CP','-1.54'
'39 methanol ... fluoromethane 2.00','MP2/cc-pVTZ CP','-0.623'
'40 methanol ... chloromethane 0.80','MP2/cc-pVTZ CP','-0.142'
'40 methanol ... chloromethane 0.85','MP2/cc-pVTZ CP','-2.242'
'40 methanol ... chloromethane 0.90','MP2/cc-pVTZ CP','-3.301'
'40 methanol ... chloromethane 0.95','MP2/cc-pVTZ CP','-3.72'
'40 methanol ... chloromethane 1.00','MP2/cc-pVTZ CP','-3.761'
'40 methanol ... chloromethane 1.05','MP2/cc-pVTZ CP','-3.592'
'40 methanol ... chloromethane 1.10','MP2/cc-pVTZ CP','-3.319'
'40 methanol ... chloromethane 1.25','MP2/cc-pVTZ CP','-2.379'
'40 methanol ... chloromethane 1.50','MP2/cc-pVTZ CP','-1.086'
'40 methanol ... chloromethane 2.00','MP2/cc-pVTZ CP','-0.349'
